훈련기관명,주소/회사번호,훈련과정명,훈련기간
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )","C,C++프로그래밍","2025-05-07 ~
													
													2025-06-11 (5회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",플러터(Flutter)를 활용한 앱개발 입문(안드로이드&IOS),"2025-05-07 ~
													
													2025-06-23 (5회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )","웹펴블리셔(웹디자인)HTML5,CSS3","2025-05-07 ~
													
													2025-06-10 (1회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )","『GTQ 자격취득』포토샵(디지털콘텐츠제작, 이미지편집)","2025-05-07 ~
													
													2025-05-21 (5회차)"
러닝팩토리 원격평생교육원,"서울 서초구 
												
													( 02-525-0602 )",[상위1% 프로그래밍] Windows System Programming 시작을 위한 넓고 얕은 지식,"2025-05-07 ~
													
													2025-06-06 (65회차)"
이젠아카데미DX교육센터,"서울 서초구 
												
													( 02-532-6500 )","백엔드 웹개발자 부트캠프(자바,파이썬,AI챗봇)","2025-05-07 ~
													
													2025-10-21 (8회차)"
글로벌아이티(IT)인재개발학원,"서울 관악구 
												
													( 02-6020-0055 )","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정","2025-05-07 ~
													
													2025-10-31 (13회차)"
글로벌아이티(IT)인재개발학원,"서울 관악구 
												
													( 02-6020-0055 )",데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,"2025-05-07 ~
													
													2025-10-31 (3회차)"
연희직업전문학교(주),"인천 서구 
												
													( 032-562-4886 )",스마트 모빌리티 부트캠프 : 웹&모바일 통합 AI 자율주행 로봇 테크코스,"2025-05-07 ~
													
													2025-11-18 (3회차)"
솔데스크강남학원,"서울 강남구 
												
													( 02-2138-3275 )",자바(JAVA)와 사물인터넷(IOT)을 활용한 하이브리드 웹앱 풀스택 과정,"2025-05-07 ~
													
													2025-11-14 (6회차)"
인천더조은컴퓨터아트학원,"인천 부평구 
												
													( 032-521-8889 )","[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)","2025-05-07 ~
													
													2025-11-19 (5회차)"
이젠아카데미DX교육센터,"서울 서초구 
												
													( 02-532-6500 )",UXUI 디자인 프론트엔드 부트캠프,"2025-05-07 ~
													
													2025-10-30 (5회차)"
삼성국민취업아카데미(주),"경기 성남시 수정구 
												
													( 031-757-2653 )","심화_심층 데이터 분석을 통한 개인 맞춤형 예측 자동화 서비스 솔루션 개발 과정 (Hadoop, Tableau, TensorFlow)","2025-05-07 ~
													
													2025-07-10 (5회차)"
케이스원격평생교육원,"서울 구로구 
												
													( 1660-3011 )","디지털 트랜스포메이션의 핵심 인공지능, 쉽게 이해하기","2025-05-07 ~
													
													2025-06-05 (22회차)"
러닝플러스 주식회사,"부산 부산진구 
												
													( 051-518-5255 )",빠르고 쉽게 배우는 파이썬을 이용한 인공지능,"2025-05-07 ~
													
													2025-06-06 (12회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",웹개발이 처음이어도 쉽게 배우는 GPT 웹개발,"2025-05-07 ~
													
													2025-06-10 (18회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 칼퇴를 부르는 파이썬 업무 자동화,"2025-05-07 ~
													
													2025-06-10 (51회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )",리액트(React)와 파이어베이스(Firebase)로 시작하는 웹 개발 과정,"2025-05-07 ~
													
													2025-06-05 (53회차)"
동성인재개발교육원,"부산 부산진구 
												
													( 051-933-3400 )",Java기반 EMS 풀스택 개발자(에너지 관리 시스템),"2025-05-07 ~
													
													2025-09-10 (3회차)"
두드림IT교육원,"경기 성남시 중원구 
												
													( 031-751-3688 )",(산대특)머신러닝+딥러닝을 활용한 빅데이터 플랫폼 구축(양성),"2025-05-07 ~
													
													2025-10-17 (2회차)"
이젠아카데미컴퓨터학원,"인천 남동구 
												
													( 032-719-4074 )","(산대특)피그마 활용 웹 UI/UX설계 및 디자인(기획,설계,포트폴리오)","2025-05-07 ~
													
													2025-06-26 (3회차)"
주식회사 이젠컴퓨터아카데미,"서울 노원구 
												
													( 02-951-0008 )","클라우드기반 AI Automation 스마트관리시스템(물류관리,생산관리)자바 백엔드개발","2025-05-07 ~
													
													2025-10-24 (19회차)"
안산 그린컴퓨터아카데미,"경기 안산시 단원구 
												
													( 031-8044-2111 )","AI프로젝트 풀스택(Java, Python, React) 딥러닝(자연어처리) 개발자 양성과정","2025-05-07 ~
													
													2025-11-25 (22회차)"
엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,"경기 수원시 팔달구 
												
													( 031-253-5225 )",심화_AI Roboflow를 활용한 부유물탐지 시스템 구축과정,"2025-05-07 ~
													
													2025-07-07 (4회차)"
연세IT미래교육원(구.연세직업전문학교),"경기 수원시 장안구 
												
													( 031-256-2662 )",AI 네이티브 언리얼(Unreal) 게임프로그래밍(VR콘텐츠 제작 전문가 양성),"2025-05-07 ~
													
													2025-12-18 (6회차)"
이젠아카데미컴퓨터학원,"경기 구리시 
												
													( 031-555-4449 )",자바(Java) 풀스택 개발 부트캠프,"2025-05-07 ~
													
													2025-10-30 (3회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",Spring 기반 백엔드 개발자 성장 과정,"2025-05-07 ~
													
													2025-11-24 (4회차)"
주식회사구름,"경기 성남시 분당구 
												
													( 031-600-8586 )",React 기반 프론트엔드 개발자 취업 특화 과정,"2025-05-07 ~
													
													2025-11-24 (4회차)"
하이미디어IT인재개발학원,"경기 성남시 중원구 
												
													( 031-736-0008 )",자바 풀스택&AI를 활용한 개발자양성 취업과정(APS플랫폼 개발),"2025-05-07 ~
													
													2025-10-30 (2회차)"
대우능력개발원,"서울 노원구 
												
													( 02-978-0012 )",프로젝트 기반의 프론트앤드 개발자 양성(with 생성형 AI),"2025-05-07 ~
													
													2026-02-12 (2회차)"
유스마트에듀평생교육원,"부산 동래구 
												
													( 051-552-0809 )",[원패스] 리눅스마스터 2급 올인원,"2025-05-07 ~
													
													2025-06-06 (25회차)"
엠비씨(MBC)아카데미컴퓨터학원 천호점,"서울 강동구 
												
													( 02-479-0654 )",(기업연계형) AI를 이용한 스마트플랫폼 개발자 양성과정,"2025-05-07 ~
													
													2025-12-10 (10회차)"
성남 그린컴퓨터아카데미,"경기 성남시 분당구 
												
													( 031-712-7447 )","프로젝트기반 웹&앱(자바,스프링,리액트,노코드) SW개발자 양성과정","2025-05-07 ~
													
													2025-12-03 (7회차)"
두드림IT교육원,"경기 성남시 중원구 
												
													( 031-751-3688 )",RPA+시큐어코딩을 활용한 자바스프링 개발자 양성과정,"2025-05-07 ~
													
													2025-10-30 (3회차)"
(주)엠아이티능력개발원,"경기 수원시 영통구 
												
													( 031-224-3636 )",인공지능 데이터 사이언스와 스마트 분석 시스템,"2025-05-07 ~
													
													2025-11-17 (1회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 바닥부터 시작하는 머신러닝,"2025-05-07 ~
													
													2025-06-10 (17회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",3D 게임 개발이 처음이어도 언리얼+블루프린트로 쉽게 배우는 3D 게임 개발,"2025-05-07 ~
													
													2025-06-17 (18회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 React,"2025-05-07 ~
													
													2025-06-10 (17회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] 프론트엔드 개발자를 위한 인터랙티브 3D 웹 개발 실전,"2025-05-07 ~
													
													2025-06-10 (51회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] Docker 기반 CI/CD 파이프라인 구축하기,"2025-05-07 ~
													
													2025-06-10 (41회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 노코드로 완성도 있는 웹사이트 만들기,"2025-05-07 ~
													
													2025-06-10 (56회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 코딩이 처음이어도 쉽게 배우는 웹개발 A to Z,"2025-05-07 ~
													
													2025-06-10 (67회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )",39시간만에 끝내는 일러스트 (기초&GTQI자격증),"2025-05-07 ~
													
													2025-06-18 (8회차)"
그린컴퓨터아트학원,"서울 구로구 
												
													( 02-2111-2000 )",웹디자인&퍼블리셔 기초(HTML5 & CSS3),"2025-05-07 ~
													
													2025-06-18 (3회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 기초가 탄탄한 딥러닝,"2025-05-07 ~
													
													2025-06-17 (17회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 쿠버네티스 클라우드,"2025-05-07 ~
													
													2025-06-03 (14회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] 클라우드가 처음이어도 쉽게 배우는 AWS A to Z,"2025-05-07 ~
													
													2025-06-10 (46회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] Kotlin으로 만드는 공공데이터 활용 안드로이드 앱,"2025-05-07 ~
													
													2025-06-10 (51회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] Unity로 메타버스 3D 게임 만들기,"2025-05-07 ~
													
													2025-06-10 (51회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 노코드로 수익형 AI 앱 만들기,"2025-05-07 ~
													
													2025-06-10 (51회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 엑셀보다 쉽고 빠른 SQL,"2025-05-07 ~
													
													2025-06-10 (47회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] 실무에 바로 쓰이는 알고리즘 by Python,"2025-05-07 ~
													
													2025-06-10 (45회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )","[개발자 입문] 웹개발의 봄, Spring","2025-05-07 ~
													
													2025-06-03 (66회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )","『실속형』초보자를 위한 영상편집(프리미어,애프터이펙트)","2025-05-07 ~
													
													2025-06-16 (14회차)"
러닝팩토리 원격평생교육원,"서울 서초구 
												
													( 02-525-0602 )","메타버스의 활용, 거울 세계를 가능하게 하는 디지털 트윈","2025-05-07 ~
													
													2025-06-06 (124회차)"
인천 그린컴퓨터아카데미,"인천 부평구 
												
													( 032-330-2111 )","[웹디자인] 웹퍼블리셔(제이쿼리, 자바스크립트) 코딩 향상과정","2025-05-07 ~
													
													2025-06-10 (13회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",자바(JAVA)프로그래밍 입문,"2025-05-07 ~
													
													2025-06-11 (3회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",React.js를 활용한 프론트앤드개발 실무,"2025-05-07 ~
													
													2025-06-10 (3회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )","영상콘텐츠제작(포토샵,프리미어,애프터이펙트)실무 양성과정","2025-05-07 ~
													
													2025-07-16 (6회차)"
엠비씨(MBC)아카데미 컴퓨터교육센터,"서울 구로구 
												
													( 02-2088-5678 )",(산대특) 스마트팩토리 혁신을 위한 AI 솔루션 개발자_양성,"2025-05-07 ~
													
													2025-11-07 (4회차)"
엠비씨(MBC)아카데미 컴퓨터교육센터,"서울 구로구 
												
													( 02-2088-5678 )",(산대특)_클라우드서비스 기반 UIUX 웹&앱 퍼블리셔 양성_육성,"2025-05-07 ~
													
													2025-10-22 (4회차)"
아이티에듀넷학원,"경남 창원시 마산회원구 
												
													( 055-716-1771 )",(산대특)_공공빅데이터활용 파이썬기반 인공지능 예측모델 구축 향상과정_육성산업,"2025-05-07 ~
													
													2025-05-23 (2회차)"
광주컴퓨터기술학원,"광주 광산구 
												
													( 062-413-1600 )",(산대특) AI 위치기반 원격예약시스템 앱개발자_육성,"2025-05-07 ~
													
													2025-07-30 (3회차)"
솔데스크강남학원,"서울 강남구 
												
													( 02-2138-3275 )",챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,"2025-05-07 ~
													
													2025-11-14 (5회차)"
